model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,make
 Focus,2017,"$10,057 ",Manual,15019,Petrol,145,61.4,1,ford
 Kamiq,2019,"$17,169 ",Manual,2300,Petrol,145,47.9,1,skoda
 Focus,2017,"$11,998 ",Manual,9080,Petrol,20,61.4,1,ford
 Fiesta,2011,"$4,295 ",Manual,86440,Petrol,145,48.7,1.4,ford
 Ka+,2019,"$9,950 ",Manual,2520,Petrol,145,43.5,1.2,ford
 Santa Fe,2019,"$34,000 ",Automatic,1578,Diesel,145,39.2,2.2,hyundi
 Tourneo Custom,2016,"$17,998 ",Manual,30010,Diesel,235,44.1,2,ford
 X1,2016,"$11,950 ",Automatic,89114,Diesel,30,65.7,2,BMW
 X6,2013,"$19,795 ",Automatic,70650,Diesel,325,36.7,3,BMW
 5 Series,2014,"$12,500 ",Automatic,35677,Diesel,30,62.8,2,BMW
 Aygo,2018,"$7,990 ",Manual,8680,Petrol,145,68.9,1,toyota
 Tucson,2017,"$14,590 ",Manual,30085,Diesel,150,61.4,1.7,hyundi
 C-HR,2019,"$19,495 ",Manual,11759,Petrol,145,41.5,1.2,toyota
 Corsa,2018,"$8,495 ",Manual,15678,Petrol,145,43.5,1.4,vauxhall
 A1,2015,"$13,450 ",Semi-Auto,42214,Petrol,30,58.9,1.4,Audi
 1 Series,2013,"$13,999 ",Automatic,48828,Petrol,235,37.7,3,BMW
 Yaris,2017,"$8,995 ",Manual,20295,Petrol,150,65.7,1,toyota
 Q5,2016,"$20,500 ",Semi-Auto,38197,Diesel,200,47.1,2,Audi
 Golf,2018,"$19,999 ",Manual,9330,Diesel,145,60.1,2,volkswagen
 C Class,2017,"$23,047 ",Semi-Auto,8143,Diesel,145,65.7,2.1,merc
 Q3,2017,"$23,998 ",Semi-Auto,12147,Petrol,145,40.4,2,Audi
 A Class,2017,"$16,998 ",Semi-Auto,19321,Diesel,150,68.9,2.1,merc
 Sharan,2019,"$24,186 ",Semi-Auto,11548,Diesel,145,41.5,2,volkswagen
 Touran,2016,"$17,600 ",Automatic,26837,Diesel,125,60.1,2,volkswagen
 Astra,2018,"$11,500 ",Manual,22647,Petrol,145,46.3,1.4,vauxhall
 S-MAX,2007,"$2,400 ",Manual,144000,Diesel,240,44.1,2,ford
 I20,2015,"$6,498 ",Manual,41823,Petrol,30,55.4,1.2,hyundi
 Mokka X,2019,"$12,787 ",Manual,15076,Petrol,145,39.2,1.4,vauxhall
 C Class,2016,"$13,900 ",Manual,26108,Petrol,125,52.3,2,merc
 Mokka X,2018,"$11,498 ",Manual,11836,Petrol,145,39.2,1.4,vauxhall
 X1,2019,"$27,440 ",Manual,123,Petrol,145,39.8,1.5,BMW
 Fiesta,2016,"$8,998 ",Manual,12118,Petrol,125,54.3,1.2,ford
 Auris,2016,"$15,780 ",Automatic,19149,Hybrid,0,72.4,1.8,toyota
 E Class,2015,"$14,491 ",Automatic,70980,Diesel,125,56.5,2.1,merc
 V Class,2019,"$39,580 ",Automatic,5322,Diesel,145,45.6,2,merc
 A1,2016,"$12,999 ",Manual,31617,Petrol,30,56.5,1.4,Audi
 Astra,2018,"$11,999 ",Manual,9473,Petrol,145,51.4,1.4,vauxhall
 Polo,2017,"$11,499 ",Manual,15243,Petrol,150,58.9,1,volkswagen
 Focus,2017,"$11,290 ",Manual,29787,Diesel,0,74.3,1.5,ford
 Grand C-MAX,2016,"$11,998 ",Manual,34883,Diesel,30,61.4,2,ford
 EcoSport,2016,"$8,199 ",Manual,33196,Petrol,160,44.8,1.5,ford
 Galaxy,2017,"$19,990 ",Manual,18000,Petrol,145,43.5,1.5,ford
 Kuga,2017,"$15,495 ",Automatic,18676,Petrol,235,38.2,1.5,ford
 Rapid,2014,"$6,682 ",Manual,34200,Petrol,125,52.3,1.2,skoda
 Astra,2018,"$14,195 ",Manual,18191,Diesel,140,65.7,1.6,vauxhall
 Mokka X,2019,"$16,291 ",Semi-Auto,6054,Petrol,150,37.2,1.4,vauxhall
 A3,2019,"$22,420 ",Manual,2301,Diesel,145,51.4,1.6,Audi
 EcoSport,2017,"$9,450 ",Manual,33000,Petrol,145,52.3,1,ford
 Viva,2016,"$5,999 ",Manual,14092,Petrol,20,62.8,1,vauxhall
 EcoSport,2018,"$14,495 ",Manual,6221,Petrol,145,54.3,1,ford
 Polo,2015,"$6,995 ",Manual,50125,Petrol,20,60.1,1,volkswagen
 Focus,2018,"$18,250 ",Manual,17227,Petrol,145,41.5,2,ford
 Octavia,2019,"$13,490 ",Semi-Auto,16045,Petrol,145,61.4,1,skoda
 Passat,2019,"$18,249 ",Manual,17148,Petrol,150,45.6,1.5,volkswagen
 2 Series,2015,"$12,700 ",Manual,54813,Diesel,30,60.1,2,BMW
 GLA Class,2017,"$19,699 ",Automatic,24192,Diesel,145,56.5,2.1,merc
 Fiesta,2019,"$11,998 ",Manual,14358,Petrol,145,58.9,1,ford
 GLA Class,2014,"$16,190 ",Automatic,57649,Diesel,145,55.4,2.1,merc
 Insignia,2016,"$10,795 ",Manual,31138,Diesel,30,62.8,2,vauxhall
 1 Series,2016,"$11,470 ",Manual,18802,Diesel,0,83.1,1.5,BMW
 2 Series,2015,"$13,700 ",Automatic,52541,Diesel,125,57.6,2,BMW
 I10,2014,"$6,000 ",Manual,17324,Petrol,20,60.1,1,hyundi
 X4,2016,"$19,999 ",Manual,23553,Diesel,160,52.3,2,BMW
 Aygo,2016,"$6,990 ",Manual,15138,Petrol,0,69,1,toyota
 Golf,2014,"$7,990 ",Manual,72255,Diesel,0,68.9,1.6,volkswagen
 Golf,2014,"$8,653 ",Manual,30203,Diesel,0,88.3,1.6,volkswagen
 Golf,2019,"$15,480 ",Manual,10933,Petrol,145,49.6,1,volkswagen
 EcoSport,2018,"$14,299 ",Manual,12111,Petrol,150,51.4,1,ford
 Golf,2019,"$23,999 ",Semi-Auto,9302,Diesel,145,49.6,2,volkswagen
 Santa Fe,2019,"$33,999 ",Semi-Auto,6697,Diesel,150,39.2,2.2,hyundi
 Octavia,2019,"$14,498 ",Manual,13141,Diesel,145,68.9,1.6,skoda
 Astra,2016,"$10,406 ",Automatic,19959,Petrol,125,51.4,1.4,vauxhall
 Kuga,2019,"$18,499 ",Manual,10234,Diesel,145,38.2,2,ford
 Focus,2013,"$8,300 ",Manual,29078,Petrol,145,47.9,1.6,ford
 E Class,2019,"$27,300 ",Automatic,811,Diesel,145,65.7,2,merc
 T-Roc,2019,"$24,990 ",Semi-Auto,3037,Diesel,150,49.6,2,volkswagen
 Focus,2018,"$16,195 ",Automatic,440,Petrol,145,50.4,1,ford
 I20,2018,"$12,354 ",Automatic,24448,Petrol,150,45.6,1.4,hyundi
 4 Series,2019,"$26,550 ",Semi-Auto,7292,Diesel,145,58.9,2,BMW
 Land Cruiser,2014,"$44,990 ",Automatic,60000,Diesel,540,29.7,4.5,toyota
 Tucson,2016,"$10,800 ",Manual,45668,Diesel,30,61.7,1.7,hyundi
 A3,2019,"$17,500 ",Automatic,10000,Diesel,145,54.3,1.6,Audi
 T-Roc,2018,"$18,495 ",Manual,10398,Petrol,145,53.3,1.5,volkswagen
 A6,2017,"$13,995 ",Manual,47000,Diesel,30,65.7,2,Audi
 Q2,2019,"$34,990 ",Semi-Auto,853,Petrol,145,41.5,1.5,Audi
 Golf,2017,"$16,495 ",Semi-Auto,30708,Diesel,125,58.9,2,volkswagen
 3 Series,2016,"$15,621 ",Manual,32927,Diesel,125,60.1,2,BMW
 Mokka X,2019,"$14,995 ",Semi-Auto,3700,Petrol,150,37.2,1.4,vauxhall
 Edge,2019,"$31,499 ",Semi-Auto,10300,Diesel,145,37.2,2,ford
 EcoSport,2017,"$11,000 ",Manual,18494,Diesel,145,64.2,1.5,ford
 Caddy Maxi Life,2019,"$19,000 ",Automatic,12174,Diesel,145,44.1,2,volkswagen
 Golf,2019,"$20,985 ",Semi-Auto,10339,Diesel,145,52.3,2,volkswagen
 Fiesta,2017,"$11,300 ",Manual,13931,Petrol,145,65.7,1,ford
 I40,2013,"$7,191 ",Manual,58232,Diesel,30,65.7,1.7,hyundi
 Beetle,2016,"$13,790 ",Manual,50139,Petrol,150,48.7,1.4,volkswagen
 Kuga,2019,"$20,847 ",Manual,10233,Diesel,145,47.9,2,ford
 C Class,2019,"$24,736 ",Semi-Auto,10605,Diesel,145,64.2,2,merc
 Focus,2017,"$17,998 ",Manual,16001,Diesel,145,67.3,2,ford
 A3,2019,"$19,750 ",Manual,4750,Diesel,145,53.3,1.6,Audi
 Tiguan,2016,"$21,299 ",Semi-Auto,26298,Petrol,235,38.2,2,volkswagen
 Kodiaq,2019,"$27,287 ",Semi-Auto,5327,Petrol,145,32.5,1.5,skoda
 Astra,2017,"$11,998 ",Semi-Auto,14727,Petrol,150,50.4,1.4,vauxhall
 E Class,2016,"$16,000 ",Automatic,28569,Diesel,125,58.9,2.1,merc
 Fiesta,2018,"$14,000 ",Manual,5151,Petrol,150,58.9,1,ford
 Q3,2018,"$20,001 ",Manual,9707,Petrol,145,51.4,1.4,Audi
 Karoq,2018,"$20,190 ",Manual,25197,Petrol,150,51.4,1.5,skoda
 A5,2020,"$28,900 ",Manual,3452,Petrol,145,39.8,2,Audi
 X5,2016,"$29,250 ",Automatic,41464,Hybrid,0,85.6,2,BMW
 C Class,2016,"$33,500 ",Automatic,25000,Petrol,300,34,3,merc
 Up,2019,"$9,990 ",Manual,3000,Petrol,145,54.3,1,volkswagen
 A5,2016,"$21,111 ",Semi-Auto,31901,Petrol,30,53.3,2,Audi
 Fiesta,2017,"$9,999 ",Manual,20993,Petrol,150,65.7,1,ford
 Q3,2018,"$25,000 ",Semi-Auto,13746,Petrol,145,48.7,1.4,Audi
 RAV4,2017,"$14,450 ",Manual,61000,Diesel,150,60.1,2,toyota
 Golf,2016,"$11,489 ",Manual,27876,Petrol,30,53.3,1.4,volkswagen
 S-MAX,2017,"$17,400 ",Manual,13406,Diesel,145,56.5,2,ford
 Touareg,2019,"$41,150 ",Automatic,450,Diesel,145,34,3,volkswagen
 Mokka X,2017,"$11,701 ",Manual,7246,Petrol,150,47.1,1.4,vauxhall
 Mokka X,2019,"$13,400 ",Manual,9713,Petrol,145,39.2,1.4,vauxhall
 Fabia,2018,"$8,995 ",Manual,23292,Petrol,150,64.2,1,skoda
 Fiesta,2017,"$7,699 ",Manual,24983,Petrol,0,65.7,1,ford
 Tucson,2019,"$15,000 ",Manual,22397,Petrol,150,34.9,0,hyundi
 C Class,2015,"$17,130 ",Automatic,59549,Hybrid,0,76.4,2.1,merc
 V Class,2019,"$25,991 ",Automatic,3442,Diesel,150,39.8,2.1,merc
 Focus,2016,"$9,990 ",Manual,14776,Petrol,20,61.4,1,ford
 Kuga,2017,"$12,000 ",Manual,20000,Petrol,165,45.6,1.5,ford
 Tiguan,2019,"$24,999 ",Manual,2266,Diesel,145,47.9,2,volkswagen
 Fabia,2019,"$10,490 ",Manual,12393,Petrol,145,61.4,1,skoda
 Fabia,2017,"$8,280 ",Manual,29500,Other,20,60.1,1.2,skoda
 1 Series,2015,"$8,490 ",Manual,48000,Petrol,125,50.4,1.6,BMW
 Polo,2018,"$10,730 ",Manual,4571,Petrol,145,60.1,1,volkswagen
 Tucson,2016,"$10,998 ",Manual,44268,Diesel,30,61.7,1.7,hyundi
 GLA Class,2015,"$18,980 ",Semi-Auto,35585,Diesel,125,55.4,2.1,merc
 A Class,2019,"$24,999 ",Semi-Auto,1000,Diesel,145,56.5,2,merc
 CLA Class,2020,"$29,498 ",Automatic,1000,Petrol,145,44.8,1.3,merc
 Aygo,2015,"$7,000 ",Manual,9447,Petrol,0,69,1,toyota
 X5,2016,"$29,570 ",Automatic,33541,Diesel,200,47.1,3,BMW
 Tiguan,2017,"$15,790 ",Manual,39843,Diesel,125,58.9,2,volkswagen
 Q3,2016,"$13,490 ",Manual,32000,Diesel,30,61.4,2,Audi
 Citigo,2017,"$5,995 ",Manual,22174,Petrol,20,64.2,1,skoda
 Astra,2016,"$8,499 ",Manual,44162,Petrol,125,51.4,1.4,vauxhall
 Tucson,2017,"$10,698 ",Manual,50408,Diesel,30,61.7,1.7,hyundi
 C-HR,2017,"$21,052 ",Automatic,9221,Hybrid,0,74.3,1.8,toyota
 Polo,2019,"$12,471 ",Manual,14708,Petrol,150,48.7,1,volkswagen
 Corsa,2018,"$8,599 ",Manual,22937,Petrol,145,43.5,1.4,vauxhall
 Focus,2018,"$13,500 ",Manual,11941,Petrol,145,57.7,1,ford
 Polo,2018,"$12,401 ",Manual,13160,Petrol,150,64.2,1,volkswagen
 Corsa,2014,"$5,299 ",Manual,28000,Petrol,125,51.4,1.2,vauxhall
 GT86,2019,"$27,060 ",Automatic,3348,Petrol,145,32.8,2,toyota
 X3,2016,"$19,000 ",Automatic,14739,Diesel,145,54.3,2,BMW
 Galaxy,2018,"$20,998 ",Manual,15584,Petrol,145,43.5,1.5,ford
 2 Series,2019,"$20,450 ",Manual,10,Petrol,145,42.8,1.5,BMW
 5 Series,2017,"$22,490 ",Semi-Auto,36549,Diesel,30,65.7,2,BMW
 1 Series,2018,"$15,500 ",Automatic,8604,Petrol,145,37.2,1.5,BMW
 IX20,2017,"$8,000 ",Manual,14554,Petrol,125,50.4,1.4,hyundi
 Q3,2017,"$17,500 ",Automatic,32863,Petrol,150,47.9,1.4,Audi
 Mokka X,2019,"$12,198 ",Manual,13142,Petrol,145,39.2,1.4,vauxhall
 Kuga,2016,"$12,990 ",Manual,29106,Diesel,30,64.2,1.5,ford
 Q3,2015,"$18,781 ",Semi-Auto,24621,Diesel,145,54.3,2,Audi
 Polo,2017,"$10,990 ",Manual,10000,Petrol,145,68.9,1,volkswagen
 Tiguan Allspace,2020,"$25,950 ",Manual,407,Diesel,145,46.3,2,volkswagen
 Fiesta,2016,"$9,210 ",Manual,28720,Petrol,0,65.7,1,ford
 5 Series,2017,"$24,999 ",Automatic,5336,Hybrid,135,156.9,2,BMW
 Octavia,2018,"$13,598 ",Manual,13730,Diesel,145,67.3,1.6,skoda
 Kona,2018,"$13,995 ",Manual,8085,Petrol,145,44.1,1,hyundi
 Yaris,2018,"$11,995 ",Automatic,30184,Hybrid,135,76.3,1.5,toyota
 Kuga,2018,"$17,998 ",Manual,4226,Petrol,145,39.2,1.5,ford
 T-Roc,2019,"$24,881 ",Automatic,1296,Diesel,150,49.6,2,volkswagen
 Aygo,2018,"$7,291 ",Manual,21232,Petrol,145,68.9,1,toyota
 Mokka X,2017,"$11,280 ",Manual,14800,Petrol,145,47.1,1.4,vauxhall
 S Class,2019,"$47,599 ",Semi-Auto,11876,Diesel,145,52.3,3,merc
 Polo,2016,"$9,995 ",Manual,27303,Petrol,20,60.1,1.2,volkswagen
 Touran,2018,"$15,298 ",Manual,17834,Diesel,145,51.4,1.6,volkswagen
 I30,2016,"$8,900 ",Manual,18257,Diesel,0,78.4,1.6,hyundi
 E Class,2016,"$17,999 ",Semi-Auto,42255,Diesel,20,72.4,2,merc
 5 Series,2017,"$25,176 ",Automatic,34640,Diesel,145,60.1,3,BMW
 Focus,2017,"$12,000 ",Manual,6179,Diesel,145,74.3,1.5,ford
 Yaris,2014,"$7,200 ",Manual,28801,Petrol,30,58.9,1,toyota
 Corsa,2018,"$8,999 ",Manual,4000,Petrol,145,43.5,1.4,vauxhall
 A5,2015,"$17,495 ",Semi-Auto,26143,Diesel,125,60.1,2,Audi
 RS6,2015,"$44,944 ",Automatic,35000,Petrol,325,29.4,4,Audi
 Mokka,2015,"$8,000 ",Automatic,54379,Diesel,145,55.4,1.6,vauxhall
 Fiesta,2018,"$12,100 ",Manual,21300,Petrol,145,56.5,1,ford
 5 Series,2019,"$26,350 ",Semi-Auto,4694,Diesel,145,65.7,2,BMW
 Corsa,2018,"$8,270 ",Manual,11209,Petrol,145,54.3,1.4,vauxhall
 Fiesta,2015,"$8,798 ",Manual,24305,Petrol,20,62.8,1,ford
 C Class,2019,"$20,249 ",Semi-Auto,14426,Petrol,145,46.3,1.5,merc
 Polo,2012,"$6,699 ",Manual,31341,Petrol,145,47.9,1.4,volkswagen
 C Class,2019,"$30,099 ",Semi-Auto,2924,Diesel,145,56.5,2,merc
 Polo,2017,"$10,298 ",Manual,39121,Petrol,145,60.1,1.2,volkswagen
 Edge,2017,"$22,995 ",Automatic,14283,Diesel,145,47.9,2,ford
 CL Class,2017,"$17,092 ",Semi-Auto,27938,Diesel,145,67.3,2.1,merc
 Mokka,2016,"$9,250 ",Automatic,39980,Diesel,145,55.4,1.6,vauxhall
 C-MAX,2016,"$10,000 ",Manual,37000,Diesel,20,68.9,1.5,ford
 Fiesta,2019,"$13,500 ",Manual,7608,Petrol,145,60.1,1,ford
 A Class,2019,"$18,490 ",Semi-Auto,14146,Diesel,145,65.7,1.5,merc
 Focus,2017,"$10,991 ",Manual,29865,Diesel,0,74.3,1.5,ford
 Passat,2016,"$10,989 ",Manual,58256,Diesel,20,68.9,2,volkswagen
 C Class,2014,"$13,295 ",Semi-Auto,38644,Petrol,160,44.8,1.6,merc
 V Class,2018,"$20,498 ",Manual,22033,Diesel,145,46.3,2.1,merc
 Focus,2016,"$15,698 ",Manual,24432,Diesel,20,67.3,2,ford
 A8,2015,"$19,998 ",Semi-Auto,42565,Diesel,200,47.9,3,Audi
 1 Series,2018,"$15,250 ",Automatic,11487,Petrol,145,55.5,1.5,BMW
 GLE Class,2019,"$48,890 ",Automatic,6170,Diesel,145,32.8,3,merc
 Corsa,2017,"$8,995 ",Manual,29700,Petrol,145,54.3,1.4,vauxhall
 Ioniq,2018,"$16,498 ",Automatic,16790,Hybrid,135,78.5,1.6,hyundi
 B Class,2016,"$12,441 ",Automatic,67558,Diesel,20,67.3,2.1,merc
 Polo,2018,"$16,995 ",Semi-Auto,16940,Petrol,145,47.9,2,volkswagen
 Golf,2016,"$21,290 ",Semi-Auto,27058,Petrol,200,39.8,2,volkswagen
 A4,2012,"$9,995 ",Manual,70950,Diesel,200,46.3,2,Audi
 Fabia,2019,"$13,295 ",Manual,5846,Petrol,145,60.1,1,skoda
 Fiesta,2020,"$14,995 ",Manual,100,Petrol,145,56.5,1,ford
 Grand Tourneo Connect,2017,"$14,998 ",Automatic,12757,Diesel,145,56.6,1.5,ford
 Golf,2019,"$15,995 ",Semi-Auto,16991,Diesel,145,54.3,1.6,volkswagen
 C-MAX,2013,"$8,298 ",Manual,39632,Petrol,30,55.4,1,ford
 Kuga,2016,"$12,276 ",Manual,34730,Diesel,125,60.1,2,ford
 Polo,2015,"$8,699 ",Manual,38220,Petrol,20,60.1,1.2,volkswagen
 Fiesta,2017,"$10,020 ",Manual,15133,Petrol,20,62.8,1,ford
 Fiesta,2017,"$8,300 ",Manual,27363,Petrol,0,65.7,1,ford
 X-CLASS,2019,"$26,995 ",Automatic,500,Diesel,260,35.8,2.3,merc
 Kuga,2018,"$17,890 ",Semi-Auto,39821,Diesel,145,54.3,2,ford
 Octavia,2019,"$15,999 ",Manual,5660,Diesel,145,56.5,1.6,skoda
 Zafira,2017,"$12,000 ",Manual,16839,Petrol,150,41.5,0,vauxhall
 Fiesta,2018,"$10,400 ",Manual,33247,Petrol,145,65.7,1,ford
 EcoSport,2016,"$9,600 ",Manual,16505,Petrol,125,53.3,1,ford
 A7,2019,"$40,000 ",Semi-Auto,4000,Diesel,145,38.7,3,Audi
 E Class,2017,"$22,444 ",Automatic,10547,Diesel,165,52.3,3,merc
 Fabia,2018,"$8,998 ",Manual,11238,Petrol,145,64.2,1,skoda
 A3,2016,"$14,100 ",Manual,10460,Petrol,20,60.1,1.4,Audi
 Crossland X,2019,"$10,965 ",Manual,20234,Petrol,145,47.1,1.2,vauxhall
 Yaris,2013,"$10,498 ",Automatic,9425,Hybrid,0,80.7,1.5,toyota
 X6,2020,"$59,989 ",Semi-Auto,3000,Diesel,145,34.9,3,BMW
 Golf,2017,"$14,498 ",Manual,33918,Petrol,20,60.1,1.4,volkswagen
 Scala,2020,"$15,895 ",Semi-Auto,3263,Petrol,145,47.1,1,skoda
 5 Series,2016,"$15,699 ",Automatic,30767,Diesel,30,62.8,2,BMW
 A Class,2018,"$29,990 ",Semi-Auto,22923,Petrol,150,40.9,2,merc
 X5,2019,"$51,232 ",Semi-Auto,5545,Diesel,145,37.7,3,BMW
 Golf SV,2017,"$12,790 ",Semi-Auto,22501,Petrol,30,54.3,1.4,volkswagen
 Golf,2019,"$19,416 ",Semi-Auto,6297,Petrol,145,44.1,1.5,volkswagen
 Mokka,2015,"$10,100 ",Automatic,17711,Petrol,160,43.5,1.4,vauxhall
 Yaris,2017,"$12,995 ",Automatic,12640,Hybrid,0,78,1.5,toyota
 A4,2016,"$14,500 ",Manual,25634,Petrol,145,51.4,1.4,Audi
 Golf,2019,"$22,266 ",Semi-Auto,3060,Petrol,145,43.5,1.5,volkswagen
 Focus,2019,"$26,995 ",Manual,3500,Diesel,145,50.4,2,ford
 1 Series,2017,"$21,990 ",Automatic,13905,Petrol,145,39.8,3,BMW
 Superb,2018,"$18,798 ",Semi-Auto,6241,Petrol,145,36.7,1.5,skoda
 A4,2018,"$23,990 ",Automatic,17711,Diesel,145,65.7,2,Audi
 Golf,2019,"$28,995 ",Semi-Auto,2588,Petrol,150,32.8,2,volkswagen
 C Class,2019,"$19,980 ",Semi-Auto,14307,Petrol,145,46.3,1.5,merc
 Polo,2017,"$8,750 ",Manual,19214,Petrol,145,60.1,1,volkswagen
 Mokka X,2019,"$13,199 ",Manual,13821,Petrol,145,39.2,1.4,vauxhall
 Corsa,2019,"$9,990 ",Manual,1821,Petrol,145,43.5,1.4,vauxhall
 E Class,2017,"$22,998 ",Semi-Auto,9926,Diesel,150,65.7,2,merc
 A Class,2018,"$77,500 ",Semi-Auto,3600,Petrol,145,30.1,4,merc
 Polo,2017,"$10,995 ",Manual,24000,Petrol,145,60.1,1.2,volkswagen
 A Class,2018,"$18,192 ",Semi-Auto,48501,Petrol,145,52.3,1.6,merc
 Corsa,2020,"$17,998 ",Manual,10,Diesel,150,70.6,1.5,vauxhall
 C Class,2011,"$7,500 ",Manual,91000,Diesel,125,60.1,2.1,merc
 1 Series,2017,"$12,400 ",Manual,40461,Diesel,30,62.8,2,BMW
 Citigo,2017,"$6,200 ",Manual,33098,Petrol,145,64.2,1,skoda
 Q5,2014,"$18,420 ",Automatic,95001,Diesel,260,41.5,3,Audi
 C Class,2019,"$32,495 ",Automatic,7499,Petrol,145,44.1,1.5,merc
 Fiesta,2017,"$9,400 ",Manual,26000,Petrol,150,64.2,1.1,ford
 SL CLASS,2018,"$27,890 ",Automatic,1565,Petrol,145,47.1,2,merc
 Golf,2019,"$20,391 ",Semi-Auto,3499,Petrol,145,44.8,1.5,volkswagen
 1 Series,2019,"$22,980 ",Semi-Auto,7729,Petrol,150,40.4,1.5,BMW
 Kuga,2019,"$16,950 ",Manual,11048,Diesel,145,54.3,1.5,ford
 Fiesta,2019,"$13,998 ",Manual,11689,Petrol,145,58.9,1,ford
 Tucson,2017,"$12,495 ",Manual,34750,Diesel,145,61.7,1.7,hyundi
 A7,2017,"$30,000 ",Semi-Auto,34128,Petrol,330,29.7,4,Audi
 Focus,2018,"$16,000 ",Automatic,25181,Diesel,145,74.3,1.5,ford
 Kuga,2019,"$18,992 ",Manual,1300,Diesel,145,38.2,2,ford
 Focus,2019,"$14,490 ",Manual,6384,Petrol,145,58.9,1,ford
 Q3,2016,"$18,400 ",Manual,24069,Diesel,145,52.3,2,Audi
 Astra,2017,"$8,499 ",Manual,35893,Petrol,125,51.4,1.4,vauxhall
 B-MAX,2014,"$6,000 ",Manual,33190,Diesel,20,68.9,1.5,ford
 Tiguan,2018,"$17,990 ",Manual,17961,Petrol,145,46.3,1.4,volkswagen
 IX20,2017,"$10,500 ",Automatic,7941,Petrol,165,43.5,1.6,hyundi
 Mokka X,2017,"$10,000 ",Manual,19365,Petrol,145,42.2,1.6,vauxhall
 4 Series,2017,"$16,488 ",Manual,27599,Diesel,150,62.8,2,BMW
 Kuga,2013,"$8,781 ",Manual,74000,Diesel,200,47.9,2,ford
 Tiguan,2019,"$31,990 ",Semi-Auto,4908,Diesel,145,35.3,2,volkswagen
 A6,2019,"$36,450 ",Semi-Auto,5535,Diesel,145,39.2,3,Audi
 Polo,2016,"$8,698 ",Manual,33098,Petrol,20,60.1,1,volkswagen
 Yeti Outdoor,2016,"$13,495 ",Semi-Auto,10000,Diesel,165,51.4,2,skoda
 Yaris,2014,"$12,250 ",Automatic,29440,Hybrid,0,78,1.5,toyota
 Yaris,2018,"$9,990 ",Manual,8011,Petrol,150,58.9,1.5,toyota
 C Class,2017,"$14,399 ",Manual,18862,Petrol,145,53.3,2,merc
 Astra,2019,"$10,695 ",Manual,13317,Petrol,145,52.3,1.4,vauxhall
 Grandland X,2019,"$16,999 ",Manual,4734,Petrol,145,44.1,1.2,vauxhall
 C Class,2019,"$33,699 ",Automatic,5428,Petrol,145,43.5,2,merc
 Mondeo,2017,"$7,793 ",Manual,114000,Diesel,30,65.7,2,ford
 Tiguan,2018,"$22,995 ",Semi-Auto,9604,Diesel,145,49.6,2,volkswagen
 Combo Life,2019,"$14,634 ",Manual,1,Diesel,145,53.3,1.5,vauxhall
 5 Series,2016,"$14,490 ",Automatic,50000,Diesel,30,62.8,2,BMW
 Focus,2018,"$13,200 ",Manual,10355,Petrol,145,57.7,1,ford
 Mokka X,2017,"$11,289 ",Manual,2536,Petrol,200,42.2,1.6,vauxhall
 GLA Class,2014,"$16,490 ",Automatic,47550,Petrol,200,42.8,2,merc
 Yaris,2017,"$10,350 ",Manual,26791,Petrol,145,58.9,1.5,toyota
 Kuga,2013,"$7,999 ",Manual,78170,Diesel,200,47.9,2,ford
 B Class,2017,"$13,800 ",Manual,18400,Diesel,145,68.9,1.5,merc
 Zafira,2016,"$11,500 ",Automatic,25901,Petrol,200,40.9,1.4,vauxhall
 I10,2018,"$7,100 ",Manual,35000,Petrol,145,60.1,1,hyundi
 Insignia,2019,"$15,698 ",Manual,16326,Diesel,145,53.3,2,vauxhall
 Q5,2019,"$30,991 ",Automatic,11500,Diesel,145,56.5,2,Audi
 C Class,2015,"$16,950 ",Automatic,20000,Hybrid,0,76.4,2.2,merc
 Q2,2019,"$21,030 ",Automatic,1342,Diesel,145,47.9,1.6,Audi
 Z4,2014,"$13,200 ",Manual,37957,Petrol,200,41.5,2,BMW
 Octavia,2017,"$16,100 ",Automatic,12913,Diesel,145,61.4,2,skoda
 Kona,2019,"$24,295 ",Automatic,1000,Hybrid,135,52.3,1.6,hyundi
 2 Series,2015,"$12,449 ",Manual,23195,Diesel,20,74.3,1.5,BMW
 Octavia,2013,"$7,995 ",Manual,55602,Diesel,20,68.9,2,skoda
 Polo,2016,"$10,241 ",Manual,23466,Petrol,20,60.1,1.2,volkswagen
 Touran,2016,"$14,950 ",Automatic,43600,Diesel,125,60.1,2,volkswagen
 Q5,2020,"$35,500 ",Semi-Auto,3500,Diesel,145,38.2,2,Audi
 Corsa,2017,"$7,895 ",Manual,21450,Petrol,30,54.3,1.4,vauxhall
 Yaris,2017,"$12,950 ",Automatic,11752,Hybrid,0,86,1.5,toyota
 Arteon,2019,"$26,990 ",Semi-Auto,4110,Diesel,150,60.1,2,volkswagen
 Scala,2019,"$17,995 ",Automatic,3500,Petrol,145,45.6,1.5,skoda
 Yaris,2017,"$9,420 ",Manual,21691,Petrol,30,58,1.3,toyota
 Aygo,2018,"$9,200 ",Semi-Auto,18265,Petrol,145,67.3,1,toyota
 C-MAX,2013,"$6,990 ",Manual,54178,Diesel,30,62.8,1.6,ford
 Focus,2019,"$17,520 ",Manual,2679,Petrol,145,60.1,1,ford
 Fiesta,2019,"$16,699 ",Semi-Auto,7147,Petrol,145,48.7,1,ford
